AC;120001;Acrelândia;25;4;11520
AC;120005;Assis Brasil;14;5;5351
AC;120010;Brasiléia;3;7;19065
AC;120013;Bujari;28;4;6543
AC;120017;Capixaba;28;4;8446
AC;120020;Cruzeiro do Sul;28;9;4493
AC;120025;Epitaciolândia;28;4;13434
AC;120030;Feijó;21;12;31288
AC;120032;Jordão;28;4;6059
AC;120033;Mâncio Lima;30;5;13785
AC;120034;Manoel Urbano;14;5;7148
AC;120035;Marechal Thaumaturgo;5;11;13061
AC;120038;Plácido de Castro;30;3;17258
AC;120080;Porto Acre;28;4;13716
AC;120039;Porto Walter;28;4;8170
AC;120040;Rio Branco;28;12;290639
AC;120042;Rodrigues Alves;28;7;12428
AC;120043;Santa Rosa do Purus;28;4;3948
AC;120050;Sena Madureira;25;9;34230
AC;120045;Senador Guiomard;14;5;18863
AC;120060;Tarauacá;24;4;32171
AC;120070;Xapuri;22;3;14314
AL;270010;Água Branca;24;4;15887
AL;270020;Anadia;18;7;17274
AL;270030;Arapiraca;30;10;202398
AL;270040;Atalaia;1;2;50323
AL;270050;Barra de Santo Antônio;20;8;13731
AL;270060;Barra de São Miguel;2;8;5435
AL;270070;Batalha;22;12;16247
AL;270080;Belém;28;8;5031
AL;270090;Belo Monte;24;4;7238
AL;270100;Boca da Mata;11;11;25145
AL;270110;Branquinha;18;5;11796
AL;270120;Cacimbinhas;19;9;9843
AL;270130;Cajueiro;22;5;20076
AL;270135;Campestre;25;11;6016
AL;270140;Campo Alegre;8;6;45307
AL;270150;Campo Grande;14;8;9563
AL;270160;Canapi;22;8;17793
AL;270170;Capela;16;10;17034
AL;270180;Carneiros;26;7;8044
AL;270190;Chã Preta;11;3;6953
AL;270200;Coité do Nóia;21;9;10916
AL;270210;Colônia Leopoldina;12;6;19363
AL;270220;Coqueiro Seco;15;11;5336
AL;270230;Coruripe;16;5;51027
AL;270235;Craíbas;23;4;22411
AL;270240;Delmiro Gouveia;14;2;46599
AL;270250;Dois Riachos;8;7;10885
AL;270255;Estrela de Alagoas;5;10;16694
AL;270260;Feira Grande;24;4;21180
AL;270270;Feliz Deserto;7;8;4370
AL;270280;Flexeiras;28;4;11928
AL;270290;Girau do Ponciano;1;1;35162
AL;270300;Ibateguara;19;11;15359
AL;270310;Igaci;4;10;25140
AL;270320;Igreja Nova;12;1;22925
AL;270330;Inhapi;22;8;17637
AL;270340;Jacaré dos Homens;9;11;5724
AL;270350;Jacuípe;4;2;6883
AL;270360;Japaratinga;23;7;7463
AL;270370;Jaramataia;20;6;5939
AL;270375;Jequiá da Praia;3;2;11430
AL;270380;Joaquim Gomes;25;8;21735
AL;270390;Jundiá;26;8;4569
AL;270400;Junqueiro;9;7;24460
AL;270410;Lagoa da Canoa;28;8;17889
AL;270420;Limoeiro de Anadia;31;5;25484
AL;270430;Maceió;5;12;896965
AL;270440;Major Isidoro;17;9;18811
AL;270490;Mar Vermelho;25;3;4014
AL;270450;Maragogi;24;4;25726
AL;270460;Maravilha;2;1;10203
AL;270470;Marechal Deodoro;15;11;45141
AL;270480;Maribondo;24;8;13865
AL;270500;Mata Grande;5;6;24599
AL;270510;Matriz de Camaragibe;24;4;24656
AL;270520;Messias;6;9;15072
AL;270530;Minador do Negrão;27;8;5160
AL;270540;Monteirópolis;15;6;7090
AL;270550;Murici;16;5;25964
AL;270560;Novo Lino;1;12;11903
AL;270570;Olho d'Água das Flores;2;12;19885
AL;270580;Olho d'Água do Casado;14;9;8139
AL;270590;Olho d'Água Grande;21;9;4817
AL;270600;Olivença;2;2;10522
AL;270610;Ouro Branco;21;6;4973
AL;270620;Palestina;27;8;10428
AL;270630;Palmeira dos Índios;20;8;70151
AL;270640;Pão de Açúcar;3;3;23855
AL;270642;Pariconha;7;4;10209
AL;270644;Paripueira;5;10;9725
AL;270650;Passo de Camaragibe;14;7;13826
AL;270660;Paulo Jacinto;2;12;7534
AL;270670;Penedo;12;4;59020
AL;270680;Piaçabuçu;31;5;17466
AL;270690;Pilar;16;3;11301
AL;270700;Pindoba;10;10;3126
